model,channel,gap_nm,gain_fixed,gain_optimized,shift_over_gamma0,width_over_gamma0,threshold_uJ_cm2,threshold_status,weak_pulse_population_gain,delta_spectrum,delta_threshold
fqs,axis_long,1.5,0.311330436904549,0.32585518267040864,-0.12523175988997914,1.1585159528083633,174.99004373995334,resolved_refined,0.37853017350529927,0.43040115283452196,
fqs,axis_long,2.0,0.1799297298369216,0.18330212905564366,-0.07532035323449322,1.1031941687621158,,right_censored,0.20332693751937692,0.330222399851302,
fqs,axis_long,3.0,0.0984333874668548,0.09862261328261256,-0.025772615488445245,1.0491784902157977,,right_censored,0.10400632132104487,2.232415690312357,
fqs,axis_long,5.0,0.23346939002503234,0.23346939002503234,-0.0018216440061240488,1.014585560388405,,right_censored,0.2367446647915138,0.9897282176029166,
fqs,axis_long,7.0,0.4131334114228504,0.4131334114228504,0.0007255936539539679,1.0053972883945015,148.97649605634527,resolved_refined,0.415152682520986,0.4016937765229311,0.2861467556731259
fqs,axis_long,10.0,0.6087568058925775,0.6087568058925775,0.0008935548068380908,1.0016011054281342,101.24224260448226,resolved_refined,0.6095607603863704,0.15264089495669506,0.13214196074853307
fqs,axis_long,12.0,0.6957037328731617,0.6957037328731617,0.0007200089217723565,1.0008087854159085,88.6196512147409,resolved_refined,0.696127126165394,0.09161611213038995,0.08375962147104188
fqs,axis_trans,0.5,0.489670602788584,0.49983129876337035,-0.07284526389754703,1.0134461220612405,121.18358584661371,resolved_refined,0.5065321382480722,0.6373198360832153,0.3773197251480603
fqs,axis_trans,0.75,0.5389574674296007,0.5440161530814113,-0.05031350459541347,1.0096071175382961,111.87782295685912,resolved_refined,0.5494673628529484,0.5169040557960567,0.3323995893365905
fqs,axis_trans,1.0,0.58023564590507,0.5832031416811312,-0.03587232263944723,1.006645369547348,104.79525314644,resolved_refined,0.5871602376540977,0.428656043627824,0.29405062103363516
fqs,axis_trans,1.5,0.6464239831860301,0.6465830044964426,-0.019560601179906007,1.0047873343276983,94.7818831838266,resolved_refined,0.6498871237232506,0.3090284989259146,0.23280401213807053
fqs,axis_trans,2.0,0.697602913370587,0.697602913370587,-0.01146197049964002,1.002515930229936,88.09297408178269,resolved_refined,0.6996004082923244,0.23278332550004693,0.18690811165833188
fqs,axis_trans,3.0,0.7715319335295516,0.7715319335295516,-0.004671988170669066,1.0008916756464288,79.82468973126167,resolved_refined,0.7724010708186844,0.14365733276556833,0.124831249775293
fqs,axis_trans,5.0,0.8574403940160351,0.8574403940160351,-0.0011919453822321886,1.0002100973917643,71.89863891603125,resolved_refined,0.8577290373597668,0.06643252596986202,0.06209388344635878
fqs,axis_trans,7.0,0.9036620128424389,0.9036620128424389,-0.00042849523054593774,1.000070584936544,68.23613163427487,resolved_refined,0.9038016283619293,0.0355752208880726,0.034280293073093236
fqs,axis_trans,10.0,0.9410121571239964,0.9410121571239964,-0.00013458378168602382,1.000019648821915,65.53393014060417,resolved_refined,0.9410784005498721,0.016353312100403597,0.016067058053366112
fqs,axis_trans,12.0,0.9554702671648548,0.9554702671648548,-7.337156084156827e-05,1.0000097175119722,64.54378219488952,resolved_refined,0.9555159486647911,0.01046446522980823,0.010343508981874307
fqs,side_long,0.5,3.1157260612303794,3.5834479241748,-0.204802938853691,1.0572555309516827,16.07525069686681,resolved_refined,3.784100434963302,3.929389096036239,0.8029381483246799
fqs,side_long,0.75,3.224475184578222,3.4814061378206738,-0.14707354390619382,1.0438214764618718,16.809384728475788,resolved_refined,3.632190189988711,3.4619813437114133,0.7820592118808615
fqs,side_long,1.0,3.2251291342003165,3.3654239036897153,-0.10784445245745886,1.035152152766954,17.578800276626403,resolved_refined,3.4825504545245414,3.06585678079081,0.7602661281994854
fqs,side_long,1.5,3.084490396217382,3.125866683968798,-0.060884200236599864,1.0240114370232958,19.18853860422948,resolved_refined,3.201536565318356,2.4326659026956086,0.7143557169852679
fqs,side_long,2.0,2.888739596875179,2.9033942676542237,-0.036069140762973705,1.0164785976380222,20.856788624807194,resolved_refined,2.951369544640007,1.9539316746285575,0.6662222183135105
fqs,side_long,3.0,2.5170859677248383,2.5170859677248383,-0.013929467724065434,1.009313997391877,24.262160770700447,resolved_refined,2.5419354995886305,1.2981356570230331,0.5677419636794573
fqs,side_long,5.0,1.990518978015372,1.990518978015372,-0.002658169424535777,1.0031955172651232,30.900016179686233,resolved_refined,1.9975517001406702,0.6296808287848953,0.38707232520130785
fqs,side_long,7.0,1.6738662818069783,1.6738662818069783,-0.0006851640088970574,1.0013713308754133,36.81109728312394,resolved_refined,1.6766243104464618,0.33583349556027275,0.25143321673315205
fqs,side_long,10.0,1.4059497072034643,1.4059497072034643,-0.00023415194035234898,1.0004690628343371,43.85594501443278,resolved_refined,1.40688722335848,0.14808092810280912,0.12889256020765402
fqs,side_long,12.0,1.3010670777156415,1.3010670777156415,-0.00019115516847503555,1.0002498903276975,47.39703912131892,resolved_refined,1.3015958433721477,0.09123401957771873,0.0835427007742272
fqs,side_trans_radial,0.5,1.3383305539065231,2.429841627754504,-0.538265073889314,1.1921812773922922,20.229162828532846,resolved_refined,2.875047193205483,2.0841194839821098,0.6256143177688152
fqs,side_trans_radial,0.75,1.6224916058247276,2.413489077708284,-0.40372509269395895,1.1564395108331063,21.152137111695616,resolved_refined,2.7747109068319067,1.748611314811103,0.5921517158775383
fqs,side_trans_radial,1.0,1.8270798429428914,2.3777466416637796,-0.30968075190393257,1.128701631250236,22.13991159277124,resolved_refined,2.6709460595395393,1.4923002873599533,0.559869653295787
fqs,side_trans_radial,1.5,2.0218100788623397,2.273980897874213,-0.19223054041047472,1.0898684722207068,24.22038490485398,resolved_refined,2.4696955709400004,1.1254712214404328,0.4986347127787078
fqs,side_trans_radial,2.0,2.040628027210808,2.1540122884000654,-0.12588724328152792,1.0649937984266653,26.353020187944136,resolved_refined,2.28818366067967,0.8753015428068772,0.4419070438650682
fqs,side_trans_radial,3.0,1.9031179724399314,1.9275139246381636,-0.0603663059847215,1.0357418383591246,30.547315415278696,resolved_refined,1.9936169342011414,0.5601081976716269,0.342776003392498
fqs,side_trans_radial,5.0,1.5968665477193413,1.5968665477193413,-0.018099684335268335,1.0129296893314088,37.9755914038755,resolved_refined,1.616860257390879,0.2618083001464755,0.20057118828863937
fqs,side_trans_radial,7.0,1.400208660681011,1.400208660681011,-0.006657480889139923,1.004760834380266,43.776865715355676,resolved_refined,1.4063568832592002,0.13629496930818416,0.11696579570475218
fqs,side_trans_radial,10.0,1.2360566658301781,1.2360566658301781,-0.0018865085144652057,1.0013397377451387,49.81332808800176,resolved_refined,1.2374415930198408,0.05837489398062873,0.054244602554576096
fqs,side_trans_radial,12.0,1.173152520089132,1.173152520089132,-0.000906145833798128,1.0006340657392367,52.53150407420292,resolved_refined,1.1737152702748823,0.03540751198928238,0.0337566619463172
